schema_version,level,suite,mode,repetition,seed,exchange_count,instrument_count,measurement_operations,requested_updates,requested_queries,successful_updates,successful_queries,update_percent,query_percent,distribution,writer_count,concurrent_client_count,query_worker_count,stripe_count,warmup_operations,warmup_seconds,measurement_seconds,updates_per_second,queries_per_second,query_p50_us,query_p95_us,query_p99_us,errors,rejected_requests,queue_full_responses,update_frames_rejected,logical_checksum,oracle_checksum,correct,build_type,compiler,compiler_version,system_name,system_version,architecture,cpu_model,logical_cpu_count,git_revision,git_dirty
1,direct,direct-locking,single-threaded,4,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,1,0,0,0,500000,0.011,0.090,49725359.656,5525039.962,0.084,0.208,0.250,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,single-threaded,4,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,1,0,0,0,500000,0.036,0.333,7496514.128,7496514.128,0.083,0.167,0.209,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,single-threaded,4,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,1,0,0,0,500000,0.035,0.400,6253370.301,6253370.301,0.084,0.208,0.250,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,global-read,5,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,0,500000,0.293,2.953,846709.007,846709.007,0.250,12.083,57.750,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,global-read,5,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,0,500000,0.272,2.816,887907.074,887907.074,0.209,11.375,60.167,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,striped-read,5,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,64,500000,0.093,0.921,4888133.039,543125.893,0.333,5.209,38.542,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,striped-read,5,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.077,0.751,3328332.146,3328332.146,0.209,0.875,26.292,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,striped-read,5,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,64,500000,0.076,0.784,3189344.190,3189344.190,0.250,0.792,21.375,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,single-threaded,5,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,1,0,0,0,500000,0.011,0.096,47012221.328,5223580.148,0.125,0.208,0.250,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,single-threaded,5,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,1,0,0,0,500000,0.037,0.381,6560802.296,6560802.296,0.083,0.208,0.250,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,single-threaded,5,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,1,0,0,0,500000,0.034,0.422,5923488.671,5923488.671,0.084,0.208,0.250,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,global-read,5,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,0,500000,0.342,3.399,1324097.638,147121.960,0.209,169.209,580.417,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
